import time: self [us] | cumulative | imported package
import time:       627 |        627 |                               torch.autograd.anomaly_mode
import time:       419 |        419 |                                     torch._functorch.utils
import time:       765 |        765 |                                       torch._functorch.predispatch
import time:      1609 |       2373 |                                     torch._functorch.vmap
import time:      1453 |       4244 |                                   torch._functorch.apis
import time:      3547 |       7790 |                                 torch._functorch.autograd_function
import time:      2935 |      10724 |                               torch.autograd.function
import time:       936 |        936 |                                   torch.testing._utils
import time:       232 |        232 |                                     cmath
import time:      3605 |       3837 |                                   torch.testing._comparison
import time:      1164 |       1164 |                                   torch.testing._creation
import time:      3394 |       9329 |                                 torch.testing
import time:      2853 |      12181 |                               torch.autograd.gradcheck
import time:       211 |        211 |                                   _uuid
import time:      1652 |       1862 |                                 uuid
import time:      3569 |       3569 |                                 torch.autograd.profiler_util
import time:      7531 |      12961 |                               torch.autograd.profiler
import time:      9719 |     155012 |                             torch.autograd
import time:      1639 |     156651 |                           torch.autograd.profiler_legacy
import time:      1590 |     158240 |                         torch.distributed.rpc.server_process_global_profiler
import time:      5423 |     180407 |                       torch.distributed.rpc
import time:      3496 |       3496 |                                   pickletools
import time:       992 |        992 |                                   torch.package._digraph
import time:       735 |        735 |                                   torch.package._importlib
import time:       947 |        947 |                                   torch.package._mangling
import time:      1437 |       1437 |                                     torch.package.importer
