import time: self [us] | cumulative | imported package
import time:      7782 |      15012 |                     jinja2.compiler
import time:      1393 |       1393 |                         jinja2.async_utils
import time:      3883 |       3883 |                         jinja2.runtime
import time:      5971 |      11246 |                       jinja2.filters
import time:       993 |        993 |                       jinja2.tests
import time:      2794 |      15032 |                     jinja2.defaults
import time:      3544 |       3544 |                       jinja2._identifier
import time:      6846 |      10390 |                     jinja2.lexer
import time:      2073 |       2073 |                     jinja2.parser
import time:      9647 |      68340 |                   jinja2.environment
import time:      2132 |       2132 |                   jinja2.loaders
import time:      4518 |      77041 |                 jinja2
import time:      2351 |       2351 |                 jinja2.ext
import time:      1073 |       1073 |                 jinja2.meta
import time:      3329 |       3329 |                 jinja2.sandbox
import time:      9376 |      93169 |               transformers.utils.chat_template_utils
import time:       762 |        762 |               transformers.utils.constants
import time:      6033 |       6033 |                 huggingface_hub._local_folder
import time:       869 |        869 |                   huggingface_hub.utils.insecure_hashlib
import time:      1567 |       2435 |                 huggingface_hub.utils.sha
import time:      2022 |       2022 |                     httpcore._models
import time:       740 |        740 |                             httpcore._backends
import time:      1606 |       1606 |                             httpcore._exceptions
import time:       772 |        772 |                             httpcore._utils
import time:      1538 |       1538 |                             httpcore._backends.base
import time:      3375 |       8029 |                           httpcore._backends.sync
import time:      1420 |       1420 |                                     importlib.resources.abc
import time:      2315 |       3735 |                                   importlib.resources._common
import time:       657 |        657 |                                   importlib.resources._functional
import time:      1827 |       6217 |                                 importlib.resources
import time:      1241 |       7457 |                               certifi.core
import time:      1279 |       8735 |                             certifi
import time:      1184 |       9919 |                           httpcore._ssl
import time:       266 |        266 |                             trio
import time:       832 |        832 |                                 anyio._core
import time:      1941 |       2773 |                               anyio._core._contextmanagers
import time:      1542 |       1542 |                                 anyio._core._exceptions
import time:       348 |        348 |                                 sniffio
import time:      1733 |       3621 |                               anyio._core._eventloop
import time:      2396 |       2396 |                                     anyio.abc._eventloop
import time:      1189 |       1189 |                                     anyio.abc._resources
import time:      1198 |       1198 |                                       anyio._core._typedattr
import time:      1555 |       1555 |                                         anyio.abc._tasks
import time:      4710 |       6264 |                                       anyio.abc._streams
import time:      4141 |      11602 |                                     anyio.abc._sockets
import time:      1066 |       1066 |                                     anyio.abc._subprocesses
import time:       637 |        637 |                                     anyio.abc._testing
import time:      9250 |       9250 |                                       anyio.lowlevel
import time:      2634 |       2634 |                                       anyio._core._tasks
import time:      1307 |       1307 |                                       anyio._core._testing
import time:     13175 |      26365 |                                     anyio._core._synchronization
import time:      3258 |       3258 |                                     anyio.from_thread
import time:      7017 |      53527 |                                   anyio.abc
import time:      1424 |      54950 |                                 anyio.to_thread
import time:      2594 |       2594 |                                 pathlib.types
import time:      7440 |      64983 |                               anyio._core._fileio
import time:       801 |        801 |                               anyio._core._resources
import time:       657 |        657 |                               anyio._core._signals
import time:       581 |        581 |                                   anyio.streams
import time:      4999 |       5579 |                                 anyio.streams.stapled
import time:      3735 |       3735 |                                 anyio.streams.tls
import time:      5435 |      14748 |                               anyio._core._sockets
import time:      7261 |       7261 |                                 anyio.streams.memory
import time:      1829 |       9089 |                               anyio._core._streams
import time:      1081 |       1081 |                               anyio._core._subprocesses
import time:      2099 |       2099 |                               anyio._core._tempfile
import time:      9611 |     109460 |                             anyio
import time:      1674 |     111400 |                           httpcore._synchronization
import time:       892 |        892 |                           httpcore._trace
import time:       489 |        489 |                                   h11._abnf
import time:      1111 |       1111 |                                     h11._util
import time:      2559 |       3670 |                                   h11._headers
import time:     15532 |      19689 |                                 h11._events
import time:      1016 |       1016 |                                   h11._receivebuffer
import time:      1762 |       1762 |                                   h11._state
import time:      5566 |       8343 |                                 h11._readers
import time:      2295 |       2295 |                                 h11._writers
import time:      4398 |      34723 |                               h11._connection
import time:       828 |        828 |                               h11._version
import time:      2948 |      38498 |                             h11
import time:      1634 |       1634 |                             httpcore._sync.interfaces
import time:      4547 |      44677 |                           httpcore._sync.http11
import time:      4456 |     179370 |                         httpcore._sync.connection
import time:      1774 |       1774 |                         httpcore._sync.connection_pool
import time:      1467 |       1467 |                         httpcore._sync.http_proxy
import time:       503 |        503 |                             h2
import time:       164 |        666 |                           h2.config
import time:      2572 |       3238 |                         httpcore._sync.http2
import time:       402 |        402 |                           socksio
import time:      1358 |       1759 |                         httpcore._sync.socks_proxy
import time:      3395 |     191000 |                       httpcore._sync
import time:       135 |     191134 |                     httpcore._sync.connection_pool
import time:      1980 |     195134 |                   httpcore._api
import time:      1025 |       1025 |                       httpcore._backends.auto
import time:       856 |        856 |                         httpcore._async.interfaces
import time:      2613 |       3469 |                       httpcore._async.http11
import time:      3054 |       7547 |                     httpcore._async.connection
import time:      3064 |       3064 |                     httpcore._async.connection_pool
import time:      1858 |       1858 |                     httpcore._async.http_proxy
import time:       302 |        302 |                         h2
import time:       125 |        426 |                       h2.config
import time:      3842 |       4268 |                     httpcore._async.http2
import time:       207 |        207 |                       socksio
import time:       940 |       1147 |                     httpcore._async.socks_proxy
import time:      3795 |      21676 |                   httpcore._async
import time:       983 |        983 |                   httpcore._backends.mock
import time:       715 |        715 |                   httpcore._backends.anyio
import time:       231 |        231 |                     trio
import time:       605 |        836 |                   httpcore._backends.trio
import time:      3417 |     222759 |                 httpcore
import time:       933 |        933 |                   tqdm.contrib
import time:       810 |       1743 |                 tqdm.contrib.concurrent
import time:     14004 |      14004 |                 huggingface_hub._buckets
import time:      1953 |       1953 |                   huggingface_hub.lfs
import time:     11089 |      13042 |                 huggingface_hub._commit_api
import time:      4910 |       4910 |                 huggingface_hub._dataset_viewer
import time:      2325 |       2325 |                 huggingface_hub._eval_results
import time:      3596 |       3596 |                 huggingface_hub._inference_endpoints
import time:     10224 |      10224 |                   huggingface_hub._space_api
import time:     18715 |      28939 |                 huggingface_hub._jobs_api
import time:      2030 |       2030 |                 huggingface_hub._upload_large_folder
import time:      1863 |       1863 |                 huggingface_hub._upload_pipeline
import time:     10202 |      10202 |                 huggingface_hub.community
import time:      4133 |       4133 |                 huggingface_hub.repocard_data
import time:       972 |        972 |                 huggingface_hub.utils._deprecation
import time:      3941 |       3941 |                 huggingface_hub.utils._verification
import time:       893 |        893 |                 huggingface_hub.utils.endpoint_helpers
import time:    112078 |     435889 |               transformers.utils.hub
import time:       928 |        928 |               transformers.utils.kernel_config
import time:      2503 |       2503 |               transformers.utils.peft_utils
import time:     11019 |    1933891 |             transformers.utils
import time:       942 |    1934833 |           transformers.utils.versions
import time:     26264 |    1962081 |         transformers.dependency_versions_check
import time:      1054 |       1054 |         transformers.utils.dummy_sentencepiece_and_tokenizers_objects
import time:       716 |        716 |         transformers.utils.dummy_mistral_common_objects
import time:       756 |        756 |         transformers.utils.dummy_torchvision_objects
import time:   1069620 |    3034225 |       transformers
import time:      1452 |       1452 |         huggingface_hub.dataclasses
import time:      1313 |       1313 |           filecmp
import time:      2168 |       3480 |         transformers.dynamic_module_utils
import time:      1161 |       1161 |           transformers.generation
import time:      5406 |       5406 |           transformers.generation.logits_process
import time:     13576 |      20142 |         transformers.generation.configuration_utils
import time:      3888 |       3888 |           transformers.integrations
import time:      5020 |       5020 |             tokenizers.tokenizers
import time:       501 |        501 |                 tokenizers.decoders
import time:       620 |        620 |                 tokenizers.models
import time:       793 |        793 |                 tokenizers.normalizers
import time:       686 |        686 |                 tokenizers.pre_tokenizers
import time:      1085 |       1085 |                 tokenizers.processors
import time:      4472 |       8155 |               tokenizers.implementations.base_tokenizer
import time:      1484 |       1484 |               tokenizers.implementations.bert_wordpiece
import time:      1178 |       1178 |               tokenizers.implementations.byte_level_bpe
import time:      1048 |       1048 |               tokenizers.implementations.char_level_bpe
import time:       669 |        669 |               tokenizers.implementations.sentencepiece_bpe
import time:       937 |        937 |               tokenizers.implementations.sentencepiece_unigram
import time:      4410 |      17877 |             tokenizers.implementations
import time:      2805 |      25702 |           tokenizers
import time:      1089 |       1089 |           transformers.utils.chat_parsing_utils
import time:      5672 |       5672 |           transformers.convert_slow_tokenizer
import time:     17152 |      53501 |         transformers.modeling_gguf_pytorch_utils
import time:      2119 |       2119 |         transformers.modeling_rope_utils
import time:     11831 |      92524 |       transformers.configuration_utils
import time:      1464 |       1464 |       transformers.models.encoder_decoder
import time:      3839 |       3839 |       transformers.models.auto.auto_mappings
import time:      6844 |       6844 |         transformers.cache_utils
import time:      2256 |       2256 |         transformers.integrations.deepspeed
import time:     18519 |      18519 |           transformers.utils.quantization_config
import time:      2964 |      21483 |         transformers.integrations.fsdp
import time:      1100 |       1100 |             torch.nn.attention._utils
import time:      9215 |      10315 |           torch.nn.attention.flex_attention
import time:       255 |        255 |                     _lsprof
import time:      2011 |       2011 |                     profile
import time:      2038 |       4303 |                   cProfile
import time:      4990 |       4990 |                   pstats
import time:      5454 |       5454 |                   torch._dynamo.callback
import time:       749 |        749 |                       getpass
import time:     13926 |      14674 |                     torch._dynamo.config
import time:      1440 |      16113 |                   torch._dynamo.distributed
import time:      4168 |       4168 |                     torch._dynamo.dynamo_profiler
import time:     14225 |      14225 |                         torch._functorch.config
import time:       543 |        543 |                               mpmath.usertools
import time:       361 |        361 |                                           gmpy2
import time:       258 |        258 |                                           gmpy
import time:      1075 |       1693 |                                         mpmath.libmp.backend
import time:      2246 |       2246 |                                         mpmath.libmp.libintmath
import time:      4648 |       8585 |                                       mpmath.libmp.libmpf
import time:      1509 |       1509 |                                         mpmath.libmp.libelefun
import time:      2695 |       4204 |                                       mpmath.libmp.libmpc
import time:      2809 |       2809 |                                         mpmath.libmp.gammazeta
import time:      3074 |       5883 |                                       mpmath.libmp.libhyper
import time:      2224 |       2224 |                                       mpmath.libmp.libmpi
import time:      5531 |      26425 |                                     mpmath.libmp
import time:       136 |      26560 |                                   mpmath.libmp.backend
import time:      1685 |       1685 |                                       mpmath.functions.functions
import time:      1634 |       1634 |                                       mpmath.functions.factorials
import time:      1811 |       1811 |                                       mpmath.functions.hypergeometric
import time:      1059 |       1059 |                                       mpmath.functions.expintegrals
import time:      1381 |       1381 |                                       mpmath.functions.bessel
import time:       741 |        741 |                                       mpmath.functions.orthogonal
import time:      1044 |       1044 |                                       mpmath.functions.theta
import time:      1247 |       1247 |                                       mpmath.functions.elliptic
import time:       451 |        451 |                                       mpmath.functions.signals
import time:      1306 |       1306 |                                       mpmath.functions.zeta
import time:      1254 |       1254 |                                       mpmath.functions.rszeta
import time:      1731 |       1731 |                                       mpmath.functions.zetazeros
import time:       496 |        496 |                                       mpmath.functions.qfunctions
import time:      2780 |      18616 |                                     mpmath.functions
import time:        57 |      18673 |                                   mpmath.functions.functions
import time:       764 |        764 |                                       mpmath.calculus.calculus
import time:      1438 |       1438 |                                       mpmath.calculus.approximation
import time:       978 |        978 |                                       mpmath.calculus.differentiation
import time:      2177 |       2177 |                                       mpmath.calculus.extrapolation
import time:       839 |        839 |                                       mpmath.calculus.polynomials
import time:      1550 |       7743 |                                     mpmath.calculus
import time:      1444 |       9187 |                                   mpmath.calculus.quadrature
import time:      1187 |       1187 |                                   mpmath.calculus.inverselaplace
import time:      1643 |       1643 |                                   mpmath.calculus.optimization
import time:       758 |        758 |                                   mpmath.calculus.odes
import time:      1038 |       1038 |                                       mpmath.matrices.eigen
import time:      2330 |       2330 |                                       mpmath.matrices.eigen_symmetric
import time:      1148 |       4515 |                                     mpmath.matrices
import time:      1678 |       6193 |                                   mpmath.matrices.matrices
import time:       839 |        839 |                                   mpmath.matrices.calculus
import time:      1146 |       1146 |                                   mpmath.matrices.linalg
import time:      1432 |       1432 |                                   mpmath.identification
import time:       731 |        731 |                                   mpmath.visualization
import time:     10713 |      79056 |                                 mpmath.ctx_base
import time:       917 |        917 |                                 mpmath.math2
import time:      2164 |       2164 |                                 mpmath.function_docs
import time:      1976 |      84112 |                               mpmath.ctx_fp
import time:      1333 |       1333 |                                 mpmath.rational
import time:     10670 |      10670 |                                 mpmath.ctx_mp_python
import time:      5850 |      17852 |                               mpmath.ctx_mp
import time:      1888 |       1888 |                               mpmath.ctx_iv
import time:      8049 |     112442 |                             mpmath
import time:       876 |        876 |                             sympy.release
import time:      1326 |       1326 |                                           sympy.utilities.enumerative
import time:      1487 |       1487 |                                           sympy.utilities.misc
import time:       992 |        992 |                                             sympy.utilities.exceptions
import time:      1660 |       2652 |                                           sympy.utilities.decorator
import time:      5757 |      11220 |                                         sympy.utilities.iterables
import time:      1447 |       1447 |                                             sympy.external.importtools
import time:      2068 |       3514 |                                           sympy.external
import time:      2889 |       6403 |                                         sympy.utilities.lambdify
import time:      2000 |       2000 |                                         sympy.utilities.timeutils
import time:      4854 |      24475 |                                       sympy.utilities
import time:       115 |      24590 |                                     sympy.utilities.iterables
import time:       882 |      25471 |                                   sympy.core.random
import time:       723 |        723 |                                     sympy.core.cache
import time:      1352 |       2074 |                                   sympy.core.parameters
import time:      1107 |       1107 |                                         sympy.core.logic
import time:      1838 |       2944 |                                       sympy.core.facts
import time:      1980 |       1980 |                                       sympy.core.assumptions_generated
import time:      4117 |       9040 |                                     sympy.core.assumptions
import time:       749 |        749 |                                     sympy.core.sorting
import time:       366 |        366 |                                                 sympy.multipledispatch.utils
import time:      1009 |       1374 |                                               sympy.multipledispatch.conflict
import time:      1479 |       2853 |                                             sympy.multipledispatch.dispatcher
import time:       958 |       3810 |                                           sympy.multipledispatch.core
import time:       632 |       4442 |                                         sympy.multipledispatch
import time:        93 |       4534 |                                       sympy.multipledispatch.dispatcher
import time:      1319 |       5853 |                                     sympy.core.kind
import time:       541 |        541 |                                     sympy.core._print_helpers
import time:       500 |        500 |                                       sympy.core.core
import time:      3541 |       4041 |                                     sympy.core.singleton
import time:      1301 |       1301 |                                     sympy.core.traversal
import time:      7879 |      29401 |                                   sympy.core.basic
import time:      2680 |      59625 |                                 sympy.core.sympify
import time:      1724 |       1724 |                                           _decimal
import time:       927 |       2650 |                                         decimal
import time:      1650 |       4300 |                                       sympy.external.pythonmpq
import time:      1157 |       1157 |                                       sympy.external.ntheory
import time:       293 |        293 |                                       flint
import time:       228 |        228 |                                       gmpy2
import time:      2824 |       8801 |                                     sympy.external.gmpy
import time:      3440 |      12240 |                                   sympy.core.evalf
import time:      1196 |       1196 |                                   sympy.core.decorators
import time:       883 |        883 |                                   sympy.core.intfunc
import time:      1972 |       1972 |                                     sympy.core.operations
import time:      3682 |       3682 |                                       sympy.core.containers
import time:      6745 |       6745 |                                           sympy.core.add
import time:       595 |        595 |                                           sympy.core.rules
import time:      9079 |       9079 |                                                 sympy.logic.boolalg
import time:      1339 |       1339 |                                                 sympy.logic.inference
import time:      4053 |      14470 |                                               sympy.logic
import time:       252 |      14722 |                                             sympy.logic.boolalg
import time:      6613 |      21335 |                                           sympy.core.symbol
import time:      9225 |      37898 |                                         sympy.core.function
import time:       733 |        733 |                                           sympy.core.coreerrors
import time:      6981 |       7713 |                                         sympy.core.relational
import time:      5196 |      50805 |                                       sympy.core.power
import time:     21192 |      75679 |                                     sympy.core.numbers
import time:      7954 |      85604 |                                   sympy.core.mul
import time:      3461 |       3461 |                                     sympy.core.exprtools
import time:      3758 |       7218 |                                   sympy.core.mod
import time:     10369 |     117509 |                                 sympy.core.expr
import time:      1230 |       1230 |                                 sympy.core.multidimensional
import time:      2262 |     180625 |                               sympy.core
import time:       167 |     180791 |                             sympy.core.cache
import time:       795 |        795 |                                 sympy.utilities.source
import time:      3627 |       4421 |                               sympy.assumptions.assume
import time:      1854 |       1854 |                                 sympy.assumptions.cnf
import time:      2897 |       2897 |                                 sympy.assumptions.ask_generated
import time:      4180 |       8929 |                               sympy.assumptions.ask
import time:      1686 |       1686 |                               sympy.assumptions.refine
import time:      2394 |       2394 |                                 sympy.assumptions.relation.binrel
import time:      1719 |       4113 |                               sympy.assumptions.relation
import time:      2854 |      22002 |                             sympy.assumptions
import time:      3310 |       3310 |                                   sympy.polys.polyerrors
import time:      7918 |      11228 |                                 sympy.polys.polyoptions
import time:       484 |        484 |                                       sympy.polys.domains.domainelement
import time:      1110 |       1110 |                                       sympy.polys.orderings
import time:      2732 |       2732 |                                         sympy.polys.domains.modularinteger
import time:      3190 |       5921 |                                       sympy.polys.polyutils
import time:      3391 |      10905 |                                     sympy.polys.domains.domain
import time:       575 |        575 |                                         sympy.polys.domains.ring
import time:      1413 |       1987 |                                       sympy.polys.domains.field
import time:       736 |        736 |                                       sympy.polys.domains.simpledomain
import time:       809 |        809 |                                         sympy.polys.polyconfig
import time:      2858 |       3666 |                                       sympy.polys.galoistools
import time:       799 |        799 |                                         sympy.polys.domains.pythonrational
import time:      1688 |       2487 |                                       sympy.polys.domains.groundtypes
import time:      4222 |      13096 |                                     sympy.polys.domains.finitefield
import time:       591 |        591 |                                       sympy.polys.domains.characteristiczero
import time:      1558 |       2148 |                                     sympy.polys.domains.integerring
import time:       994 |        994 |                                     sympy.polys.domains.rationalfield
import time:      1445 |       1445 |                                           sympy.polys.monomials
import time:      2002 |       3446 |                                         sympy.polys.densebasic
import time:      1876 |       1876 |                                         sympy.polys.densearith
import time:      1083 |       1083 |                                         sympy.polys.densetools
import time:      1500 |       1500 |                                         sympy.polys.euclidtools
import time:       948 |        948 |                                         sympy.polys.sqfreetools
import time:      1719 |       1719 |                                         sympy.polys.factortools
import time:      2402 |       2402 |                                         sympy.polys.rootisolation
import time:     12284 |      25253 |                                       sympy.polys.polyclasses
import time:      3055 |      28308 |                                     sympy.polys.domains.algebraicfield
import time:      2882 |       2882 |                                     sympy.polys.domains.gaussiandomains
import time:      2241 |       2241 |                                     sympy.polys.domains.realfield
import time:      2203 |       2203 |                                     sympy.polys.domains.complexfield
import time:       638 |        638 |                                       sympy.polys.domains.compositedomain
import time:      1199 |       1837 |                                     sympy.polys.domains.polynomialring
import time:      1071 |       1071 |                                     sympy.polys.domains.fractionfield
import time:      1496 |       1496 |                                     sympy.polys.domains.expressiondomain
import time:       857 |        857 |                                     sympy.polys.domains.expressionrawdomain
import time:       749 |        749 |                                       sympy.polys.domains.pythonintegerring
import time:      1138 |       1886 |                                     sympy.polys.domains.pythonfinitefield
import time:       664 |        664 |                                       sympy.polys.domains.gmpyintegerring
import time:      1068 |       1732 |                                     sympy.polys.domains.gmpyfinitefield
import time:       738 |        738 |                                     sympy.polys.domains.pythonrationalfield
import time:      1651 |       1651 |                                     sympy.polys.domains.gmpyrationalfield
import time:     10633 |      84671 |                                   sympy.polys.domains
import time:      1567 |      86237 |                                 sympy.polys.constructor
import time:       959 |        959 |                                 sympy.polys.fglmtools
import time:      1400 |       1400 |                                 sympy.polys.groebnertools
import time:       715 |        715 |                                 sympy.polys.rationaltools
import time:     18179 |     118715 |                               sympy.polys.polytools
import time:      1081 |       1081 |                                       sympy.ntheory.primetest
import time:      2244 |       3325 |                                     sympy.ntheory.generate
import time:       780 |        780 |                                       sympy.ntheory.digits
import time:       846 |        846 |                                       sympy.ntheory.ecm
import time:      3702 |       5327 |                                     sympy.ntheory.factor_
import time:       726 |        726 |                                         sympy.ntheory.modular
import time:       404 |        404 |                                         sympy.utilities.memoization
import time:      2692 |       3820 |                                       sympy.ntheory.residue_ntheory
import time:      2234 |       6054 |                                     sympy.ntheory.partitions_
import time:       553 |        553 |                                     sympy.ntheory.multinomial
import time:       620 |        620 |                                     sympy.ntheory.continued_fraction
import time:       779 |        779 |                                     sympy.ntheory.egyptian_fraction
import time:      1057 |       1057 |                                     sympy.ntheory.qs
import time:      6119 |      23831 |                                   sympy.ntheory
import time:      6289 |       6289 |                                     sympy.polys.compatibility
import time:      1038 |       1038 |                                     sympy.polys.heuristicgcd
import time:      1137 |       1137 |                                             sympy.printing.conventions
import time:       839 |        839 |                                             sympy.printing.precedence
import time:       992 |        992 |                                             sympy.printing.printer
import time:      2428 |       2428 |                                             sympy.printing.str
import time:       383 |        383 |                                                 sympy.core.alphabets
import time:      2577 |       2960 |                                               sympy.printing.pretty.pretty_symbology
import time:      2122 |       5081 |                                             sympy.printing.pretty.stringpict
import time:      8809 |      19283 |                                           sympy.printing.pretty.pretty
import time:      3078 |      22361 |                                         sympy.printing.pretty
import time:      6115 |       6115 |                                         sympy.printing.latex
import time:      3684 |       3684 |                                         sympy.printing.mathml
import time:      1521 |       1521 |                                           sympy.printing.repr
import time:      2224 |       3744 |                                         sympy.printing.python
import time:       647 |        647 |                                                     sympy.functions.combinatorial
import time:      6516 |       7163 |                                                   sympy.functions.combinatorial.factorials
import time:       557 |        557 |                                                       sympy.functions.elementary
import time:      3586 |       3586 |                                                         sympy.functions.elementary.miscellaneous
import time:      3476 |       3476 |                                                         sympy.functions.elementary.piecewise
import time:      7535 |      14597 |                                                       sympy.functions.elementary.complexes
import time:      5846 |      20999 |                                                     sympy.functions.elementary.exponential
import time:      1678 |       1678 |                                                     sympy.polys.appellseqs
import time:     14749 |      37426 |                                                   sympy.functions.combinatorial.numbers
import time:      3759 |       3759 |                                                     sympy.functions.elementary.integers
import time:      1789 |       1789 |                                                     sympy.functions.elementary._trigonometric_special
import time:     15973 |      21520 |                                                   sympy.functions.elementary.trigonometric
import time:      9459 |       9459 |                                                   sympy.functions.elementary.hyperbolic
import time:       691 |        691 |                                                     sympy.functions.special
import time:     11237 |      11237 |                                                     sympy.functions.special.hyper
import time:     11229 |      23156 |                                                   sympy.functions.special.error_functions
import time:      3773 |       3773 |                                                     sympy.functions.special.zeta_functions
import time:      5008 |       8781 |                                                   sympy.functions.special.gamma_functions
import time:      2774 |       2774 |                                                   sympy.functions.special.tensor_functions
import time:      4529 |       4529 |                                                         sympy.polys.polyquinticconst
import time:      3838 |       8366 |                                                       sympy.polys.polyroots
import time:      4066 |      12431 |                                                     sympy.functions.special.delta_functions
import time:      2597 |      15028 |                                                   sympy.functions.special.singularity_functions
import time:     13755 |      13755 |                                                         sympy.sets.sets
import time:      5515 |       5515 |                                                         sympy.sets.fancysets
import time:      1102 |       1102 |                                                         sympy.sets.contains
import time:      1296 |       1296 |                                                         sympy.sets.conditionset
import time:      1494 |       1494 |                                                         sympy.sets.ordinals
import time:      1120 |       1120 |                                                         sympy.sets.powerset
import time:       678 |        678 |                                                           sympy.sets.handlers
import time:      5135 |       5813 |                                                         sympy.sets.handlers.comparison
import time:      6090 |      36181 |                                                       sympy.sets
import time:       103 |      36284 |                                                     sympy.sets.sets
import time:      1155 |      37438 |                                                   sympy.functions.special.bsplines
import time:       849 |        849 |                                                     sympy.polys.orthopolys
import time:      9502 |      10350 |                                                   sympy.functions.special.bessel
import time:      7697 |       7697 |                                                   sympy.functions.special.polynomials
import time:      1931 |       1931 |                                                   sympy.functions.special.spherical_harmonics
import time:      2619 |       2619 |                                                   sympy.functions.special.elliptic_integrals
import time:      2278 |       2278 |                                                   sympy.functions.special.beta_functions
import time:      2574 |       2574 |                                                   sympy.functions.special.mathieu_functions
import time:     20355 |     210540 |                                                 sympy.functions
import time:       112 |     210651 |                                               sympy.functions.elementary
import time:        92 |     210743 |                                             sympy.functions.elementary.complexes
import time:      1983 |     212725 |                                           sympy.printing.codeprinter
import time:      4885 |     217609 |                                         sympy.printing.pycode
import time:      2552 |       2552 |                                           sympy.assumptions.relation.equality
import time:      3131 |       5682 |                                         sympy.printing.smtlib
import time:      1830 |       1830 |                                         sympy.printing.glsl
import time:      1532 |       1532 |                                         sympy.printing.rcode
import time:      1524 |       1524 |                                         sympy.printing.jscode
import time:      1679 |       1679 |                                         sympy.printing.julia
import time:      3267 |       3267 |                                         sympy.printing.mathematica
import time:      2769 |       2769 |                                         sympy.printing.octave
import time:      1104 |       1104 |                                           sympy.utilities.mathml
import time:      1715 |       2819 |                                         sympy.printing.gtk
import time:      1165 |       1165 |                                         sympy.printing.preview
import time:       813 |        813 |                                         sympy.printing.tree
import time:      1121 |       1121 |                                         sympy.printing.tableform
import time:      1171 |       1171 |                                         sympy.printing.dot
import time:      1782 |       1782 |                                         sympy.printing.maple
import time:     18269 |     298926 |                                       sympy.printing
import time:      1822 |     300747 |                                     sympy.printing.defaults
import time:      1542 |       1542 |                                     sympy.utilities.magic
import time:     11767 |     321383 |                                   sympy.polys.rings
import time:      3834 |     349047 |                                 sympy.polys.specialpolys
import time:      1286 |     350332 |                               sympy.polys.polyfuncs
import time:      3846 |       3846 |                                     sympy.polys.puiseux
import time:      3699 |       7545 |                                   sympy.polys.ring_series
import time:      9081 |       9081 |                                   sympy.polys.rootoftools
import time:      7332 |      23957 |                                 sympy.polys.numberfields.minpoly
import time:      1635 |       1635 |                                 sympy.polys.numberfields.subfield
import time:      1202 |       1202 |                                         sympy.polys.matrices.exceptions
import time:      1274 |       1274 |                                         sympy.polys.matrices.domainscalar
import time:      1194 |       1194 |                                             sympy.polys.matrices._typing
import time:      2293 |       3487 |                                           sympy.polys.matrices.dense
import time:      1311 |       1311 |                                           sympy.polys.matrices.lll
import time:      4100 |       4100 |                                           sympy.polys.matrices.sdm
import time:      1131 |       1131 |                                           sympy.polys.matrices.dfm
import time:      8467 |      18494 |                                         sympy.polys.matrices.ddm
import time:      1251 |       1251 |                                         sympy.polys.matrices.rref
import time:      6217 |      28437 |                                       sympy.polys.matrices.domainmatrix
import time:      4278 |      32714 |                                     sympy.polys.matrices
import time:       219 |      32933 |                                   sympy.polys.matrices.exceptions
import time:      3116 |       3116 |                                     sympy.printing.numpy
import time:      2574 |       5690 |                                   sympy.printing.lambdarepr
import time:      2174 |      40796 |                                 sympy.polys.numberfields.utilities
import time:       819 |        819 |                                     sympy.polys.matrices.normalforms
